who,color,hierarchy,polity,degree,clustering-coeff,resources
143,105,0,(turtle 317),20,0.0210526315789473,4049075500680.464
586,105,0,(turtle 317),13,0.0769230769230769,1834821049490.3435
308,105,0,(turtle 317),14,0.0879120879120879,4994020513987.191
345,105,0,(turtle 317),9,0.0,1998114799721.7825
93,105,0,(turtle 317),17,0.0808823529411764,2575568726961.541
907,105,0,(turtle 317),11,0.0545454545454545,3613263738700.549
271,105,122,(turtle 317),123,0.0086632013861122,12024384908.594557
937,105,97,(turtle 317),98,0.0174626551651588,2403301120.9681745
501,105,0,(turtle 317),9,0.0,4559497708835.437
288,105,0,(turtle 317),13,0.0512820512820512,3385311904964.736
871,105,1,(turtle 317),18,0.065359477124183,91837136.0089462
630,105,0,(turtle 317),11,0.0363636363636363,3236021798112.063
446,105,0,(turtle 317),14,0.0329670329670329,2935218922173.873
757,105,0,(turtle 317),15,0.0285714285714285,3414520886706.247
734,105,112,(turtle 317),108,0.0103842159916926,7193640418.118204
580,105,0,(turtle 317),14,0.0659340659340659,2837268124727.494
361,105,134,(turtle 317),131,0.0186729301233118,535682127649.0637
584,105,104,(turtle 317),103,0.0171330668189605,1863302174.5370896
443,105,0,(turtle 317),13,0.0384615384615384,3217581068800.4453
741,105,0,(turtle 317),12,0.0757575757575757,2339698343091.368
191,105,0,(turtle 317),16,0.05,1970187434365.731
285,105,0,(turtle 317),14,0.0329670329670329,4205298945923.417
831,105,0,(turtle 317),14,0.0659340659340659,3107599826278.448
357,105,126,(turtle 317),127,0.0156230471191101,41151110536.84526
803,105,0,(turtle 317),10,0.0222222222222222,2073990825369.133
479,105,0,(turtle 317),13,0.0256410256410256,2604568671362.557
202,105,0,(turtle 317),17,0.0441176470588235,3009423949567.579
528,105,1,(turtle 317),21,0.0809523809523809,132260730.1006652
619,105,0,(turtle 317),13,0.0512820512820512,2227577593225.153
225,105,15,(turtle 317),25,0.05,394115631.57092905
780,105,0,(turtle 317),14,0.0549450549450549,2615200704333.675
686,105,86,(turtle 317),85,0.0134453781512605,1380993082.4465566
633,105,0,(turtle 317),16,0.05,2227212252674.272
846,105,0,(turtle 317),15,0.0666666666666666,3462297214670.4404
862,105,0,(turtle 317),10,0.0444444444444444,3571289940307.2275
21,105,0,(turtle 317),16,0.075,4656556423201.619
870,105,0,(turtle 317),13,0.1153846153846153,1782316246122.4854
746,105,0,(turtle 317),14,0.0879120879120879,3473345256776.9404
534,105,0,(turtle 317),59,0.0426651081239041,21035879082684.5
561,105,0,(turtle 317),18,0.0718954248366013,3186751604396.0786
252,105,0,(turtle 317),19,0.087719298245614,3511347404319.828
359,105,0,(turtle 317),13,0.0256410256410256,1730093203348.087
753,105,0,(turtle 317),17,0.0441176470588235,3752469630653.207
429,105,0,(turtle 317),16,0.1,3862971699678.53
131,105,0,(turtle 317),14,0.0659340659340659,4065541746235.965
565,105,0,(turtle 317),11,0.0909090909090909,1782349389467.2192
30,105,0,(turtle 317),16,0.05,2462155690486.178
578,105,0,(turtle 317),15,0.0380952380952381,3527959285650.0947
720,105,0,(turtle 317),15,0.0761904761904762,3406824408262.9146
13,105,0,(turtle 317),14,0.0219780219780219,1958785711635.1355
215,105,121,(turtle 317),119,0.0145278450363196,17350841235.541786
67,105,0,(turtle 317),10,0.0222222222222222,1995124502952.557
859,105,0,(turtle 317),10,0.1111111111111111,2102650209082.3296
723,105,95,(turtle 317),97,0.0152491408934707,1694515695.899263
664,105,0,(turtle 317),10,0.0888888888888888,2905772061633.2524
794,105,17,(turtle 317),28,0.074074074074074,488626188.8810663
336,105,0,(turtle 317),13,0.0512820512820512,3956963238608.889
878,105,0,(turtle 317),15,0.0857142857142857,3411254010605.501
81,105,49,(turtle 317),53,0.0362844702467343,1055776399.0551244
848,105,0,(turtle 317),11,0.0545454545454545,3360323376522.665
679,105,0,(turtle 317),12,0.0454545454545454,2326551230784.224
733,105,0,(turtle 317),19,0.0409356725146198,3440958366841.6045
412,105,0,(turtle 317),13,0.0769230769230769,1958361367221.751
458,105,0,(turtle 317),14,0.0549450549450549,3290008577449.84
61,105,0,(turtle 317),16,0.0583333333333333,2178031794447.3767
728,105,0,(turtle 317),19,0.0760233918128654,3564674833557.435
4,105,0,(turtle 317),17,0.0147058823529411,3836659431160.5513
465,105,66,(turtle 317),74,0.0307293594964827,901182928.7754765
525,105,0,(turtle 317),16,0.0666666666666666,2277169577395.473
426,105,0,(turtle 317),11,0.0181818181818181,3279302965232.652
972,105,0,(turtle 317),18,0.0130718954248366,3167281301201.262
926,105,0,(turtle 317),12,0.0606060606060606,3410226781812.077
889,105,0,(turtle 317),13,0.0384615384615384,1798085771036.4746
852,105,1,(turtle 317),14,0.0769230769230769,59971944.13052645
335,105,0,(turtle 317),17,0.0735294117647058,3991448934883.427
41,105,0,(turtle 317),13,0.0512820512820512,1735021324624.6104
114,105,0,(turtle 317),17,0.0588235294117647,2093083732848.6245
918,105,128,(turtle 317),126,0.0123174603174603,61943499367.727455
234,105,115,(turtle 317),115,0.0117467581998474,8405192830.502604
547,105,0,(turtle 317),21,0.0666666666666666,4699084751704.914
273,105,0,(turtle 317),15,0.0476190476190476,1463950177086.848
88,105,0,(turtle 317),19,0.0701754385964912,1556638017420.3257
248,105,0,(turtle 317),12,0.0606060606060606,1988159793209.955
179,105,0,(turtle 317),17,0.0661764705882353,1880497944970.5093
27,105,0,(turtle 317),16,0.0416666666666666,3499244487418.413
995,105,1,(turtle 317),8,0.1071428571428571,65493493.85980213
322,105,0,(turtle 317),12,0.1363636363636363,3538767527115.7905
754,105,0,(turtle 317),16,0.1,2690146474720.2305
829,105,0,(turtle 317),13,0.0641025641025641,4491571059787.903
644,105,0,(turtle 317),12,0.0454545454545454,3580576599873.5034
119,105,0,(turtle 317),15,0.0571428571428571,3827671362059.072
145,105,0,(turtle 317),13,0.0897435897435897,1880588001524.664
100,105,0,(turtle 317),14,0.0439560439560439,2852854996764.5005
485,105,0,(turtle 317),18,0.130718954248366,4530461891641.099
